Question,Answer
Chùa Thạch Long tọa lạc tại vị trí nào?,"Chùa Thạch Long tọa lạc tại xã Cao Kỳ, huyện Chợ Mới, tỉnh Bắc Kạn. Nơi đây còn được mệnh danh là “chùa thiêng trong hang đá”. Ngôi chùa thu hút hàng ngàn khách thập phương tới dự hội và dâng hương cầu phúc, cầu tài mỗi dịp xuân về."
Chùa Thạch Long có kiến trúc gì đặc biệt?,Chùa Thạch Long có kiến trúc đặc biệt vì nằm trong hang núi đá rộng và thoáng đãng. Cổng hang có hình miệng con rồng đang há. Chùa có hai phần chính là chùa Thiên nằm trên cao và chùa Âm nằm ở sườn núi.
"Chùa Thạch Long có những gian, tòa nào?","Chùa Thạch Long có hai phần chính. Phần thứ nhất là chùa Thiên nằm ở trên cao, có một bậc đá xếp từ chân núi dẫn thẳng lên tới cửa động, gian cao nhất thờ Đức Phật Thích Ca, gian trung thờ ảnh Bác Hồ. Phần thứ hai của chùa là chùa Âm, đường đến chùa Âm phải đi vòng quanh sườn núi."
Những sự kiện lịch sử quan trọng đã diễn ra tại chùa Thạch Long?,"Trong cuộc kháng chiến chống Pháp, Bác Hồ đã 3 lần đến chùa Thạch Long. Trong chiến dịch Điện Biên Phủ năm 1954, chùa trở thành trạm vận chuyển vũ khí và là kho vũ khí bí mật của quân đội ta. Hội chùa Thạch Long được tổ chức vào mùng 7 tháng Giêng hằng năm, thu hút rất nhiều du khách."
Chùa Thạch Long thờ ai?,"Chùa Thạch Long có hai phần chính là chùa Thiên và chùa Âm. Gian cao nhất của chùa Thiên thờ Đức Phật Thích Ca. Ở gian trung của chùa Thiên, trên bệ cao nhất có ảnh thờ Bác Hồ."
Chi tiết về lễ hội chùa Thạch Long?,"Hội chùa Thạch Long được tổ chức vào mùng 7 tháng Giêng hằng năm. Lễ hội thu hút rất nhiều du khách. Chùa Thạch Long thu hút hàng ngàn khách thập phương tới dự hội và dâng hương cầu phúc, cầu tài mỗi dịp xuân về."
Đền An Mã tọa lạc tại vị trí nào?,"Đền An Mã tọa lạc trên đảo An Mã giữa hồ Ba Bể. Đảo An Mã là một hòn đảo đá vôi, có khum hình mai rùa, nhô cao khoảng 30m giữa mặt Hồ Ba Bể. Đền An Mã thuộc xã Nam Mẫu, huyện Ba Bể, tỉnh Bắc Kạn."
Đền An Mã thờ ai?,"Đền An Mã là nơi thờ cúng các trung thần họ Mạc. Đền còn là nơi sinh hoạt tín ngưỡng của người dân địa phương và khách thập phương. Ngoài ra, đền còn là nơi dâng lễ Hội xuân Ba Bể."
Đền An Mã được xây dựng lại năm nào?,"Đền An Mã được trùng tu xây dựng lại năm 2006. Đền mang nét giản dị, nhẹ nhàng, thanh thoát, hoà quyện với thiên nhiên. Các đường nét được chạm trổ khéo léo, công phu thể hiện được ý tưởng, quan niệm của con người nơi đây, gắn với hoàn cảnh lịch sử trong từng thời kỳ."
Chi tiết về lễ hội đền An Mã?,"Hội đền An Mã được tổ chức vào ngày 6 tháng hai âm lịch hàng năm. Phần lễ bao gồm lễ rước Kiệu Mẫu và tế lễ. Sau phần lễ là phần hội với nhiều hoạt động vui chơi sôi động như kéo co, đẩy gậy, bơi thuyền, chọi gà..."
Đền An Mã có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đền An Mã là nơi sinh hoạt tín ngưỡng của người dân địa phương và khách thập phương. Người dân thường lên đảo thắp hương cầu tài, cầu lộc, cầu cho gia đình bình an, hạnh phúc vào những ngày mồng một âm lịch hằng tháng. Đền An Mã là một di tích lịch sử văn hóa có tiềm năng phát triển du lịch tâm linh ở Bắc Kạn."
Đền Thắm tọa lạc tại vị trí nào?,"Đền Thắm tọa lạc tại xã Yên Hân, Chợ Mới, Bắc Kạn. Đền tựa lưng vào núi, mặt hướng ra ngã ba sông Tràng Cổ. Đền nằm ngay cạnh con đường rải nhựa cấp phối dẫn đến xã Quảng Chu."
Đền Thắm thờ ai?,"Đền Thắm thờ Ngũ vị tôn ông, Bách Linh, Đức thánh Trần Hưng Đạo, mẫu Thượng Thiên, Phật Quan âm. Miếu thờ cô Thắm nằm kề ngay bên đền chính. Đền Thắm còn thờ cô Thắm - nữ tướng đã mưu dũng cầm quân đánh tan giặc Cờ Đen."
Từng gian ở đền Thắm thờ ai?,"Đền chính được chia làm ba gian, thờ: Ngũ vị tôn ông, Bách Linh, Đức thánh Trần Hưng Đạo, mẫu Thượng Thiên, Phật Quan âm. Gian hậu cung thờ Mẫu Thác Bà và Tam Tòa Thánh Mẫu. Ngoài thần Diệu Minh Đạt, đền còn thờ Tam Phủ và các Hoàng Cô Hoàng Cậu như các đền khác."
