Question,Answer
Chùa Thạch Long tọa lạc tại vị trí nào?,"Chùa Thạch Long thuộc xã Cao Kỳ, huyện Chợ Mới, tỉnh Bắc Kạn."
Chùa Thạch Long có kiến trúc gì đặc biệt?,"Chùa Thạch Long nằm trong hang núi đá rộng, sạch và thoáng. Cổng hang có hình miệng con rồng đang há."
Chùa Thạch Long tổ chức lễ hội vào ngày nào?,Hội chùa Thạch Long được tổ chức vào mùng 7 tháng Giêng hằng năm.
"Chùa Thạch Long có những gian, tòa nào?",Chùa Thạch Long có hai phần chính: chùa Thiên và chùa Âm.
Những sự kiện lịch sử quan trọng đã diễn ra tại chùa Thạch Long?,"Trong cuộc kháng chiến chống thực dân Pháp, Bác Hồ đã 3 lần đến đây. Trong chiến dịch Điện Biên Phủ năm 1954, chùa trở thành trạm vận chuyển vũ khí và là kho vũ khí bí mật của quân đội ta."
Chùa Thạch Long thờ ai?,"Gian cao nhất của chùa Thiên thờ Đức Phật Thích Ca. Ở gian trung, trên bệ cao nhất có ảnh thờ Bác Hồ."
Chi tiết về lễ hội chùa Thạch Long?,"Hội chùa Thạch Long được tổ chức vào mùng 7 tháng Giêng hằng năm, thu hút rất nhiều du khách thập phương, họ đến để dâng hương cầu may mắn, hạnh phúc cho gia đình và người thân."
Đền An Mã tọa lạc tại vị trí nào?,Đền An Mã tọa lạc trên đảo An Mã giữa hồ Ba Bể.
Đền An Mã thờ ai?,"Đền thờ Phật, Mẫu Thượng Ngàn, Chúa Sơn Trang, Đức Thánh Trần và các vị trung thần nhà Mạc."
Đền An Mã được xây dựng lại năm nào?,Đền An Mã được trùng tu xây dựng lại năm 2006.
Chi tiết về lễ hội đền An Mã?,Hội xuân Ba Bể tổ chức vào ngày 10 tháng giêng. Hội đền An Mã được tổ chức vào ngày 6 tháng hai âm lịch hàng năm.
Đền An Mã có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Đền An Mã là nơi sinh hoạt tín ngưỡng của người dân địa phương, khách thập phương và cũng là nơi dâng lễ Hội xuân Ba Bể."
Đền Thắm tọa lạc tại vị trí nào?,"Đền Thắm tại xã Yên Hân, Chợ Mới, Bắc Kạn."
Đền Thắm thờ ai?,"Đền chính được chia làm ba gian, thờ: Ngũ vị tôn ông, Bách Linh, Đức thánh Trần Hưng Đạo, mẫu Thượng Thiên, Phật Quan âm. Miếu thờ cô Thắm nằm kề ngay bên đền chính, về phía trái có kiến trúc bê tông cuốn vòm, trên bệ thờ là tượng cô Thắm mặc áo xanh, dưới bệ có đôi chim phượng tạc bằng đá."
Từng gian ở đền Thắm thờ ai?,"Đền chính được chia làm ba gian, thờ: Ngũ vị tôn ông, Bách Linh, Đức thánh Trần Hưng Đạo, mẫu Thượng Thiên, Phật Quan âm. Miếu thờ cô Thắm nằm kề ngay bên đền chính, về phía trái có kiến trúc bê tông cuốn vòm, trên bệ thờ là tượng cô Thắm mặc áo xanh, dưới bệ có đôi chim phượng tạc bằng đá."
"Đền Thắm có những gian, tòa nào?","Quần thể đền Thắm được chia làm nhiều phần, gồm đền chính, miếu cô Thắm và miếu Sơn Thần."
Chi tiết về lễ hội đền Thắm?,"Hàng năm, du khách thập phương về đây lễ bái, cầu nguyện rất đông, nhất là dịp giêng hai. Đã thành lệ, những ngày 2/2 (ngày khai xuân, cầu phúc, cầu mùa), 2/4 (lễ vào hè, giải hạn), 10/7 (lễ cầu an) và 2/12 âm lịch, người ta lại nô nức kéo về."
Đền Thắm tổ chức lễ hội vào ngày nào?,"Những ngày 2/2 (ngày khai xuân, cầu phúc, cầu mùa), 2/4 (lễ vào hè, giải hạn), 10/7 (lễ cầu an) và 2/12 âm lịch."
Chi tiết về các lần tu sửa?,"Năm 2005 đền Thắm đã được tu bổ và an ninh cũng được đảm bảo tốt hơn để du khách thập phương yên tâm thăm thú, lễ lạt. Được biết cuối thế kỷ XIX, đền được tu bổ để thờ Cô Thắm - nữ tướng đã mưu dũng cầm quân đánh tan giặc Cờ Đen."
Đình Thánh có tên gọi khác là gì?,Người dân địa phương thường gọi là Đền “Slấn Slánh”.
Đình Thánh tọa lạc tại vị trí nào?,"Đình Thánh được xây cất trên chân đồi (Đồn Điền) sau chợ cũ Phủ Thông, huyện Bạch Thông, tỉnh Bắc Kạn."
