Question,Answer
Chùa Thạch Long tổ chức lễ hội vào ngày nào?,"Hội chùa Thạch Long được tổ chức vào mùng 7 tháng Giêng hằng năm. Lễ hội thu hút rất nhiều du khách. Chùa Thạch Long thuộc xã Cao Kỳ, huyện Chợ Mới, tỉnh Bắc Kạn."
Đền Bảo Hà được xây dựng từ khi nào?,"Đền Bảo Hà được xây dựng từ cuối đời Lê niên hiệu Cảnh Hưng. Ban đầu, đền chỉ là một ngôi miếu nhỏ của người Tày ở Khảu Bàn. Đến thời Minh Mệnh, đền thờ ông đã được mở rộng khá khang trang."
Chùa Khánh Long có bao nhiêu năm tuổi?,"Chùa Khánh Long có tuổi đời hàng trăm năm. Trước kia, đây chỉ là một ngôi chùa làng rất nhỏ. Ngôi chùa nằm cách thành phố Thái Nguyên khoảng 33km."
Từng gian ở chùa Đại Bi thờ ai?,"Chùa Đại Bi có hai miếu được xây dựng thêm hai bên, mang tên Tam vị Thánh ông và Địa Hoàng thiên. Miếu thờ Tam vị Thánh ông là thờ 3 người có công lớn trong chống giặc cờ đen. Bà con nhân dân tôn các ông làm Thánh và lập miếu tại chùa Đại Bi để cung kính ân đức."
Chi tiết về Pháp hội Trúc Lâm được tổ chức tại Thiền viện Trúc Lâm Chính Pháp Tuyên Quang?,"Pháp hội Trúc Lâm được tổ chức tại Thiền viện Trúc Lâm Chính Pháp Tuyên Quang là một sự kiện có quy mô lớn. Trong khuôn khổ của Pháp hội có các hoạt động ý nghĩa dành cho giới trẻ như nói chuyện, chia sẻ về khởi nghiệp, hướng nghiệp của các phật tử là doanh nhân thành đạt. Dự kiến còn có lễ khởi động công trình tượng Phật Hoàng Trần Nhân Tông trên núi Dùm."
"Chùa Tích Sơn có những bảo vật, hiện vật quý giá nào?","Chùa Tích Sơn có một chuông đồng được đúc năm Minh Mệnh thứ 12 (tức năm 1832) và một khánh đồng cổ. Bên cạnh đó, chùa còn có các bức chạm gỗ và hệ thống tượng thờ. Đây đều là những cổ vật quý còn lưu giữ được tại chùa."
Chùa Tích Sơn thờ ai?,"Chùa Tích Sơn là một nơi thờ Phật. Chùa còn là nơi cho các tăng ni, phật tử học tập. Đây cũng là nơi cho nhân dân thập phương hành hương làm lễ và chiêm bái."
Chùa Tích Sơn có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Chùa Tích Sơn là trung tâm sinh hoạt văn hóa, tín ngưỡng của nhân dân trong vùng. Trong thời kỳ tiền khởi nghĩa, chùa là nơi nuôi giấu cán bộ cách mạng và hội họp của các tổ chức cách mạng địa phương. Lễ hội mùng 3 tháng Giêng được tổ chức ở miếu Đậu vẫn mang tính chất hàng xã, với sự tham gia của 5 làng Tích Sơn."
Chùa Tích Sơn có những sự kiện lịch sử quan trọng nào đã diễn ra?,"Chùa Tích Sơn được xây dựng vào cuối thời Hậu Lê, đầu thời Nguyễn. Trong thời kỳ tiền khởi nghĩa, chùa là nơi nuôi giấu cán bộ cách mạng và là nơi hội họp của các cơ sở, tổ chức cách mạng địa phương. Chùa Tích Sơn không chỉ là di tích lịch sử văn hóa mà còn mang đậm dấu ấn di tích cách mạng."
Chùa Động Lâm có tên gọi khác là gì?,"Chùa Động Lâm còn được gọi là chùa Hạ. Chùa nằm ở xã Hợp Thịnh, huyện Tam Dương. Chùa cách thành phố Vĩnh Yên 4km về phía Tây Bắc theo quốc lộ 2."
Chùa Động Lâm tọa lạc tại vị trí nào?,"Chùa Động Lâm, còn được gọi là chùa Hạ, nằm ở xã Hợp Thịnh, huyện Tam Dương. Vị trí này cách thành phố Vĩnh Yên, tỉnh Vĩnh Phúc, 4km về phía Tây Bắc theo quốc lộ 2."
Chùa Động Lâm được xây dựng từ khi nào?,Chùa Động Lâm được xây dựng vào khoảng thế kỷ XVII. Chùa đã trải qua trùng tu lớn vào thời Nguyễn (thế kỷ XIX). Sân chùa có một bia đá tạo thời Lê Trung Hưng niên hiệu Đức Long (1629).
Chùa Động Lâm đã qua bao nhiêu lần tu sửa?,"Chùa Động Lâm được xây dựng vào khoảng thế kỷ XVII. Chùa đã trùng tu lớn vào thời Nguyễn (thế kỷ XIX). Hiện nay chùa gồm 2 tòa: Bái đường và thượng điện, bố cục kiến trúc theo kiểu chữ “đinh”."
"Chùa Động Lâm có những gian, tòa nào?",Chùa Động Lâm hiện nay gồm 2 tòa: Bái đường và thượng điện. Bố cục kiến trúc của chùa theo kiểu chữ “đinh”.
Chùa Động Lâm có kiến trúc gì đặc biệt?,"Chùa Động Lâm có kiến trúc theo kiểu chữ ""đinh"", bao gồm hai tòa: Bái đường và thượng điện. Chùa được xây dựng vào khoảng thế kỷ XVII và trùng tu lớn vào thời Nguyễn (thế kỷ XIX). Khuôn viên chùa nằm trên gò đất rộng khoảng 600m2."
"Chùa Động Lâm có những bảo vật, hiện vật quý giá nào?",Chùa Động Lâm có hơn một chục bức tượng thờ cùng các hiện vật có giá trị khác. Đây là những hiện vật đã tồn tại hàng trăm năm nay. Chúng được sáng tạo từ đôi bàn tay tài hoa của các nghệ nhân dân gian.
Chùa Động Lâm thờ ai?,Chùa Động Lâm thờ Phật và các vị thần bản địa. Chùa còn là nơi sinh hoạt làng xã thời phong kiến. Ngôi chùa là sự kết hợp giữa tín ngưỡng tôn giáo và triết lý Phương Đông.
Từng gian ở chùa Động Lâm thờ ai?,"Chùa Động Lâm có hệ thống tượng đẹp và phong phú bao gồm tượng Phật và tượng Thần. Bên cạnh đó, chùa còn thờ Quan Âm Tọa Sơn bồng một đứa bé (Quan Âm Tống Tử) với Kim Đồng và Ngọc nữ ở hai bên. Ngoài ra, chùa còn có các tượng tứ Bồ Tát (ái, Ngữ, Sách và Quyền Bồ Tát)."
Diện tích của di tích khảo cổ học Đồng Đậu là bao nhiêu?,"Di tích khảo cổ học Đồng Đậu có tổng diện tích 8,5ha. Nó nằm trên một quả gò cao khoảng 6m so với mặt ruộng trũng xung quanh. Đây là một di chỉ cư trú của người Việt cổ lớn nhất ở trung tâm vùng tam giác châu thổ Bắc Bộ."
Di tích khảo cổ học Đồng Đậu tọa lạc tại vị trí nào?,"Di tích khảo cổ học Đồng Đậu nằm trọn vẹn trên một quả gò cao khoảng 6m so với mặt ruộng trũng xung quanh, thuộc thôn Đông, thị trấn Yên Lạc. Di tích cách trung tâm huyện lỵ Yên Lạc 1,5km về phía Đông, nằm sát đường 305 tỉnh lộ."
Di tích khảo cổ học Đồng Đậu đã qua bao nhiêu lần khai quật lớn?,"Di tích khảo cổ học Đồng Đậu đã qua 6 lần thám sát và khai quật lớn. Các năm khai quật là 1965, 1966, 1967, 1968, 1969, 1984, 1987 và 1999. Tổng diện tích khai quật là 758m2."
Những hiện vật nào được tìm thấy tại di tích khảo cổ học Đồng Đậu?,"Các hiện vật được tìm thấy tại di tích khảo cổ học Đồng Đậu rất lớn và phong phú. Các giai đoạn văn hoá khảo cổ diễn tiến liên tục từ Phùng Nguyên, Đồng Đậu, Gò Mun và cuối cùng là Đông Sơn. Đây là một di chỉ cư trú của người Việt cổ lớn nhất ở trung tâm vùng tam giác châu thổ Bắc Bộ."
Những giai đoạn văn hoá khảo cổ nào được tìm thấy tại di tích khảo cổ học Đồng Đậu?,"Các giai đoạn văn hoá khảo cổ được tìm thấy tại di tích khảo cổ Đồng Đậu là Phùng Nguyên, Đồng Đậu, Gò Mun và Đông Sơn. Các giai đoạn này diễn tiến liên tục, thể hiện một quá trình định cư ổn định và lâu dài của cư dân Việt cổ. Đây là di chỉ cư trú của người Việt cổ lớn nhất ở trung tâm vùng tam giác châu thổ Bắc Bộ."
Di tích khảo cổ học Đồng Đậu có ảnh hưởng như thế nào đến cộng đồng địa phương?,"Di tích khảo cổ học Đồng Đậu được bảo vệ nguyên vẹn kể từ khi phát hiện vào năm 1962. Nó phục vụ tích cực cho các cuộc khai quật, nghiên cứu và tham quan học tập. Di tích này có giá trị lớn lao đối với Vĩnh Phúc, Việt Nam và khu vực Đông Nam Á."
Hồ Chủ tịch đã về thăm Vĩnh Phúc bao nhiêu lần?,"Hồ Chủ tịch đã chính thức về thăm Vĩnh Phúc 8 lần trong thời gian từ 1945-1963. Bác Hồ đã dành nhiều tình cảm ân cần khích lệ, quan tâm gần gũi với nhân dân Vĩnh Phúc. Những di tích lưu niệm Bác Hồ trên quê hương Vĩnh Phúc sẽ là những địa chỉ đỏ."
Hồ Chủ tịch đã về thăm Hợp tác xã nông nghiệp Lạc Trung vào ngày nào?,"Hồ Chủ tịch đã về thăm Hợp tác xã nông nghiệp Lạc Trung vào ngày 25 tháng 1 năm 1961. Lạc Trung đã vinh dự được đón Bác về thăm vì những thành tích trong nông nghiệp. Những nơi Bác đã từng đến thăm, nói chuyện với nhân dân địa phương đã được chính quyền và nhân dân Lạc Trung gìn giữ lại thành khu di tích lưu niệm."
Hợp tác xã nông nghiệp Lạc Trung nay là gì?,"Hợp tác xã nông nghiệp Lạc Trung nay là xã Bình Dương, huyện Vĩnh Tường. Xã Bình Dương có nhiều thành tích trong phong trào “tết trồng cây” và trở thành điển hình tiên tiến của tỉnh và toàn miền Bắc. Xã Bình Dương trong kháng chiến chống Pháp là một khu du kích nổi tiếng kiên cường trong chiến đấu."
